Date and Time deployed (local),Date and Time recovered (local),AudioMoth #,SD card #,Site,Latitude,Longitude,Sampling rate (Hz),Gain,Filter,Amplitude threshold,Battery start (V),Battery end (V),Deployer,Scribe,Uploader,Upload folder name,Notes
2022-08-18T18:17:00,2022-08-22T17:04:00,E,014,Central Pond,47° 39' 17.088'' N,122° 17' 34.302'' W,192000,Medium,None,None,4.248,3.678,JS,JS,JS,recover-20220822,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime.
2022-08-22T16:38:00,2022-08-25T17:39:00,A,002,Telephone Field,47° 39' 24.600'' N,122° 17' 29.718'' W,192000,Medium,None,None,4.154,3.732,JS,AK,JS,recover-20220825,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime
2022-08-22T18:10:00,2022-08-25T19:09:00,B,011,Fallen Tree,47° 39' 22.902'' N,122° 17' 33.888'' W,192000,Medium,None,None,4.212,3.777,JS,AK,JS,recover-20220825,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Walkable land currently
2022-08-22T17:39:00,2022-08-25T18:38:00,C,004,Carp Pond,47° 39' 16.062'' N,122° 17' 41.910'' W,192000,Medium,None,None,4.153,3.718,JS,AK,JS,recover-20220825,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime; Pond continuing to recede
2022-08-22T16:54:00,2022-08-25T17:56:00,D,006,Foliage,47° 39' 19.398'' N,122° 17' 26.832'' W,192000,Medium,None,None,4.146,3.721,AK,AK,JS,recover-20220825,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime
2022-08-22T17:15:00,2022-08-25T18:19:00,E,008,Central Pond,47° 39' 17.058'' N,122° 17' 34.470'' W,192000,Medium,None,None,4.127,3.775,JS,AK,JS,recover-20220825,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Pond Continuing To Recede; Deployment Site Can Be Reached Without Waders
2022-08-22T18:31:00,2022-08-25T19:38:00,F,005,Opposite Central Pond,47° 39' 19.782'' N,122° 17' 35.778'' W,192000,Medium,None,None,4.143,3.712,AK,AK,JS,recover-20220825,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime
2022-08-25T17:44:00,2022-08-29T16:02:00,A,007,Telephone Field,47° 39' 24.702'' N,122° 17' 30.072'' W,192000,Medium,None,None,4.184,3.604,JS,JS,AK,recover-20220828,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime; Uploaded to 8TB drive
2022-08-25T19:16:00,2022-08-29T16:20:00,B,013,Fallen Tree,47° 39' 22.818'' N,122° 17' 33.858'' W,192000,Medium,None,None,4.149,3.611,JS,JS,AK,recover-20220828,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Walkable land currently; Uploaded to 8TB drive
2022-08-25T18:53:00,2022-08-29T17:43:00,C,012,Carp Pond,47° 39' 15.990'' N,122° 17' 42.318'' W,192000,Medium,None,None,4.231,3.626,JS,JS,AK,recover-20220828,Using 6 Panasonic AA Ni-MH batteries; Used Acoustic Chime; Pond continuing to recede; Uploaded to 5TB drive
2022-08-25T18:03:00,2022-08-29T18:10:00,D,009,Foliage,47° 39' 18.612'' N,122° 17' 26.718'' W,192000,Medium,None,None,4.151,3.817,AK,JS,AK,recover-20220828,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Uploaded to 5TB drive
2022-08-25T18:26:00,2022-08-29T17:24:00,E,010,Central Pond,47° 39' 16.758'' N,122° 17' 34.632'' W,192000,Medium,None,None,4.146,3.817,JS,JS,AK,recover-20220828,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Pond Continuing To Recede; Deployment Site Can Be Reached Without Waders; Uploaded to 8TB drive
2022-08-25T19:48:00,2022-08-29T16:40:00,F,014,Opposite Central Pond,47° 39' 19.812'' N,122° 17' 35.652'' W,192000,Medium,None,None,4.142,3.589,AK,JS,AK,recover-20220828,Using 6 IKEA AA Ni-MH batteries; Used Acoustic Chime; Uploaded to 5TB drive
2022-08-29T16:08:00,2022-09-01T17:06:00,A,001,Telephone Field,47° 39' 24.588'' N,122° 17' 29.658'' W,192000,Medium,None,None,4.137,3.734,JS,AK,AK,recover-20220901,Ikea Batteries
2022-08-29T16:27:00,2022-09-01T18:16:00,B,002,Fallen Tree,47° 39' 22.938'' N,122° 17' 33.702'' W,192000,Medium,None,None,4.155,3.673,JS,AK,AK,recover-20220901,Panasonic Batteries
2022-08-29T17:50:00,2022-09-01T17:55:00,C,005,Carp Pond,47° 39' 15.942'' N,122° 17' 41.910'' W,192000,Medium,None,None,4.202,3.721,JS,AK,AK,recover-20220901,Panasonic Batteries
2022-08-29T18:33:00,2022-09-01T17:24:00,D,006,Foliage,47° 39' 19.062'' N,122° 17' 27.792'' W,192000,Medium,None,None,3.940,3.020,AK,JS,AK,recover-20220901,Ikea Batteries; Battery died early due to weakly charged batteries; Last full recording on 8/30 11pm PST
2022-08-29T17:32:00,2022-09-01T17:42:00,E,004,Central Pond,47° 39' 16.968'' N,122° 17' 34.392'' W,192000,Medium,None,None,4.116,3.666,JS,JS,AK,recover-20220901,Panasonic Batteries
2022-08-29T16:47:00,2022-09-01T18:33:00,F,003,Opposite Central Pond,47° 39' 19.962'' N,122° 17' 35.652'' W,192000,Medium,None,None,4.161,3.739,AK,JS,AK,recover-20220901,Ikea Batteries
2022-09-01T17:13:00,2022-09-05T13:26:00,A,007,Telephone Field,No Valid Info,No Valid Info,192000,Medium,None,None,4.117,3.106,JS,AK,AK,recover-20220905,Panasonic; Heat is dying down; Rained during session; Lost battery early due to weak connection to 2nd battery pack; Last pre-error recording at 09-03-2022T20:30:00
2022-09-01T18:23:00,2022-09-05T14:46:00,B,011,Fallen Tree,47° 39' 22.650'' N,122° 17' 34.110'' W,192000,Medium,None,None,4.144,3.428,JS,AK,AK,recover-20220905,Ikea; Heat is dying down; Rained during session; Lost battery early due to weak connection to 2nd battery pack; Last pre-error recording at 09-03-2022T10:00:00
2022-09-01T18:02:00,2022-09-05T14:47:00,C,010,Carp Pond,47° 39' 15.972'' N,122° 17' 42.078'' W,192000,Medium,None,None,4.093,3.356,JS,AK,AK,recover-20220905,Ikea; Heat is dying down; Rained during session; Lost battery early due to weak connection to 2nd battery pack; Last pre-error recording at 09-02-2022T06:00:00
2022-09-01T17:29:00,2022-09-05T13:45:00,D,008,Foliage,47° 39' 18.828'' N,122° 17' 26.478'' W,192000,Medium,None,None,4.113,3.024,AK,JS,AK,recover-20220905,Ikea; Heat is dying down; Rained during session; Last pre-error recording at 09-02-2022T21:30:00; Perhaps water interference due to rain.
2022-09-01T17:47:00,2022-09-05T13:57:00,E,009,Central Pond,No Valid Info,No Valid Info,192000,Medium,None,None,4.168,3.411,JS,AK,AK,recover-20220905,Panasonic; Heat is dying down; Rained during session; Last pre-error recording at 09-04-2022T23:30:00; Location pictures did not have right metadata.
2022-09-01T18:38:00,2022-09-05T14:33:00,F,012,Opposite Central Pond,47° 39' 19.692'' N,122° 17' 35.400'' W,192000,Medium,None,None,4.167,3.297,AK,JS,AK,recover-20220905,Ikea; Heat is dying down; Rained during session; Last pre-error recording at 09-02-2022T023:30:00
NOT DEPLOYED AT LOCATION,-,A,-,Telephone Field,-,-,-,-,-,-,-,-,-,-,-,-,Brought back to lab because battery connection wires need to be re-soldered.
NOT DEPLOYED AT LOCATION,-,B,-,Fallen Tree,-,-,-,-,-,-,-,-,-,-,-,-,Brought back to lab because battery connection wires need to be re-soldered.
2022-09-05T14:52:00,2022-09-08T15:09:00,F,004,Carp Pond,47° 39' 15.942'' N,122° 17' 41.910'' W,192000,Medium,None,None,4.161,3.776,JS,AK,AK,recover-20220908,Ikea; Audiomoth C was taken to lab; Audiomoth F from OPC was moved here; No rain during session; Recordings were all full and complete.
2022-09-05T13:49:00,2022-09-08T14:52:00,D,002,Foliage,47° 39' 18.600'' N,122° 17' 26.778'' W,192000,Medium,None,None,4.258,3.797,AK,JS,AK,recover-20220908,Ikea; No rain during session; Recordings were all full and complete.
2022-09-05T14:01:00,2022-09-08T15:00:00,E,003,Central Pond,47° 39' 17.310'' N,122° 17' 34.062'' W,192000,Medium,None,None,4.107,3.699,JS,AK,AK,recover-20220908,Panasonic; No rain during session; Recordings were all full and complete.
NOT DEPLOYED AT LOCATION,-,F,-,Fallen Tree,-,-,-,-,-,-,-,-,-,-,-,-,Moved to location "Carp Pond" because Audiomoth C's battery connection wires needed to be re-soldered.
2022-09-08T17:29:00,2022-09-12T15:13:00,A,007,Telephone Field,47° 39' 24.318'' N,122° 17' 29.718'' W,192000,Medium,None,None,4.195,3.080,JS,AK,AK,recover-20220912,Ikea; Deployed during Bolt Creek wildfire on 2022-09-10
2022-09-08T17:40:00,2022-09-12T15:36:00,B,008,Foliage,47° 39' 18.468'' N,122° 17' 27.078'' W,192000,Medium,None,None,4.155,3.544,AK,JS,AK,recover-20220912,Ikea; Deployed during Bolt Creek wildfire on 2022-09-10
2022-09-08T17:48:00,2022-09-12T15:52:00,C,009,Central Pond,47° 39' 17.898'' N,122° 17' 34.062'' W,192000,Medium,None,None,4.194,3.756,JS,AK,AK,recover-20220912,Panasonic; Deployed during Bolt Creek wildfire on 2022-09-10
2022-09-08T17:56:00,2022-09-12T16:06:00,D,010,Carp Pond,47° 39' 15.690'' N,122° 17' 42.462'' W,192000,Medium,None,None,4.143,3.785,JS,JS,AK,recover-20220912,Ikea; Deployed during Bolt Creek wildfire on 2022-09-10
2022-09-08T18:09:00,2022-09-12T16:27:00,E,011,Fallen Tree,47° 39' 22.680'' N,122° 17' 34.332'' W,192000,Medium,None,None,4.100,3.471,JS,AK,AK,recover-20220912,Panasonic; Deployed during Bolt Creek wildfire on 2022-09-10
2022-09-08T18:27:00,2022-09-12T16:56:00,F,012,Opposite Central Pond,47° 39' 19.662'' N,122° 17' 36.012'' W,192000,Medium,None,None,4.177,4.088,AK,JS,AK,recover-20220912,Ikea; Deployed during Bolt Creek wildfire on 2022-09-10; SD card had popped out sometime while deploying; No Data
2022-09-12T15:26:00,2022-09-15T15:47:00,A,001,Telephone Field,47° 39' 24.438'' N,122° 17' 29.598'' W,192000,Medium,None,None,4.133,3.755,JS,AK,AK,recover-20220915,Ikea; Did not collect recovery lat/lon so using deployment lat/lon here.
2022-09-12T15:42:00,2022-09-15T16:05:00,B,002,Foliage,47° 39' 18.312'' N,122° 17' 26.670'' W,192000,Medium,None,None,4.117,3.716,AK,JS,AK,recover-20220915,Ikea
2022-09-12T15:56:00,2022-09-15T16:21:00,C,003,Central Pond,47° 39' 17.502'' N,122° 17' 34.470'' W,192000,Medium,None,None,4.086,3.696,JS,AK,AK,recover-20220915,Panasonic
2022-09-12T16:14:00,2022-09-15T16:35:00,D,004,Carp Pond,47° 39' 15.702'' N,122° 17' 42.288'' W,192000,Medium,None,None,4.073,3.653,JS,JS,AK,recover-20220915,Ikea
2022-09-12T16:42:00,2022-09-15T16:55:00,E,005,Fallen Tree,47° 39' 23.148'' N,122° 17' 33.972'' W,192000,Medium,None,None,4.074,3.384,JS,AK,AK,recover-20220915,Panasonic
2022-09-12T16:57:00,2022-09-15T17:10:00,F,006,Opposite Central Pond,47° 39' 19.512'' N,122° 17' 35.448'' W,192000,Medium,None,None,4.088,3.438,AK,JS,AK,recover-20220915,Ikea; Only replaced SD card from last session because batteries were fully charged.
2022-09-15T15:54:00,2022-09-19T16:55:00,A,007,Telephone Field,47° 39' 24.438'' N,122° 17' 29.598'' W,192000,Medium,None,None,4.220,3.617,JS,JS,AK,recover-20220919,Panasonic
2022-09-15T16:12:00,2022-09-19T17:13:00,B,008,Foliage,47° 39' 18.648'' N,122° 17' 26.802'' W,192000,Medium,None,None,4.204,3.618,AK,JS,AK,recover-20220919,Ikea
2022-09-15T16:27:00,2022-09-19T17:30:00,C,009,Central Pond,47° 39' 16.782'' N,122° 17' 34.362'' W,192000,Medium,None,None,4.169,3.756,JS,JS,AK,recover-20220919,Panasonic; Did not collect recovery lat/lon so using deployment lat/lon here.
2022-09-15T16:41:00,2022-09-19T17:45:00,D,010,Carp Pond,47° 39' 16.068'' N,122° 17' 41.958'' W,192000,Medium,None,None,4.167,3.817,JS,JS,AK,recover-20220919,Ikea
2022-09-15T17:00:00,2022-09-19T18:13:00,E,011,Fallen Tree,47° 39' 22.902'' N,122° 17' 34.002'' W,192000,Medium,None,None,4.245,3.655,AK,JS,AK,recover-20220919,Panasonic
2022-09-15T17:15:00,2022-09-19T18:27:00,F,012,Opposite Central Pond,47° 39' 19.728'' N,122° 17' 35.430'' W,192000,Medium,None,None,4.161,3.576,AK,JS,AK,recover-20220919,Ikea
2022-09-19T17:02:00,2022-09-22T15:21:00,A,001,Telephone Field,47° 39' 24.162'' N,122° 17' 29.862'' W,192000,Medium,None,None,4.138,3.762,AK,WJL,AK,recover-20220922,Ikea; Temperatures have begun dropping as we enter Fall season; Observed helicopter flying at relatively low altitude above this location minutes before deployment
2022-09-19T17:19:00,2022-09-22T15:37:00,B,002,Foliage,47° 39' 18.402'' N,122° 17' 26.940'' W,192000,Medium,None,None,4.145,3.775,AK,WJL,AK,recover-20220922,Ikea; Temperatures have begun dropping as we enter Fall season
2022-09-19T17:34:00,2022-09-22T15:56:00,C,003,Central Pond,47° 39' 16.782'' N,122° 17' 34.362'' W,192000,Medium,None,None,4.142,3.729,AK,WJL,AK,recover-20220922,Panasonic; Temperatures have begun dropping as we enter Fall season
2022-09-19T17:49:00,2022-09-22T16:09:00,D,004,Carp Pond,47° 39' 15.870'' N,122° 17' 42.132'' W,192000,Medium,None,None,4.216,3.743,AK,WJL,AK,recover-20220922,Panasonic; Temperatures have begun dropping as we enter Fall season
2022-09-19T18:18:00,2022-09-22T16:29:00,E,005,Fallen Tree,47° 39' 21.060'' N,122° 17' 34.092'' W,192000,Medium,None,None,4.140,3.793,AK,WJL,AK,recover-20220922,Ikea; Temperatures have begun dropping as we enter Fall season
2022-09-19T18:31:00,2022-09-22T16:45:00,F,006,Opposite Central Pond,47° 39' 19.770'' N,122° 17' 35.952'' W,192000,Medium,None,None,4.143,3.744,AK,WJL,AK,recover-20220922,Ikea; Temperatures have begun dropping as we enter Fall season
2022-09-22T15:26:00,2022-09-26T15:35:00,A,007,Telephone Field,47° 39' 24.348'' N,122° 17' 29.598'' W,192000,Medium,None,None,4.281,(3.7),AK,YJC,JS,recover-20220926,Panasonic
2022-09-22T15:42:00,2022-09-26T15:54:00,B,008,Foliage,47° 39' 18.612'' N,122° 17' 26.832'' W,192000,Medium,None,None,4.180,(3.7),AK,YJC,JS,recover-20220926,Ikea
2022-09-22T16:00:00,2022-09-26T16:00:00,C,009,Central Pond,47° 39' 16.908'' N,122° 17' 34.578'' W,192000,Medium,None,None,4.168,(3.9),AK,YJC,JS,recover-20220926,Ikea
2022-09-22T16:13:00,2022-09-26T16:23:00,D,010,Carp Pond,47° 39' 15.762'' N,122° 17' 41.958'' W,192000,Medium,None,None,4.248,(4.2),AK,YJC,JS,recover-20220926,Panasonic; SD card popped out so nothing was recorded
2022-09-22T16:35:00,2022-09-26T16:42:00,E,011,Fallen Tree,47° 39' 22.992'' N,122° 17' 33.858'' W,192000,Medium,None,None,4.206,(3.7),AK,YJC,JS,recover-20220926,Panasonic
2022-09-22T16:52:00,2022-09-26T16:55:00,F,012,Opposite Central Pond,47° 39' 19.572'' N,122° 17' 35.682'' W,192000,Medium,None,None,4.173,(3.6),AK,YJC,JS,recover-20220926,Ikea
2022-09-26T15:45:00,2022-09-29T16:37:00,A,001,Telephone Field,47° 39' 23.718'' N,122° 17' 28.842'' W,192000,Medium,None,None,(4.3),3.741,AK,YJC,JS,recover-20220929,IKEA; Rained less than an inch; Audiomoths held up well.
2022-09-26T15:57:00,2022-09-29T17:01:00,B,002,Foliage,47° 39' 18.558'' N,122° 17' 26.562'' W,192000,Medium,None,None,(4.3),3.743,AK,YJC,JS,recover-20220929,IKEA; Rained less than an inch; Audiomoths held up well.
2022-09-26T16:11:00,2022-09-29T17:19:00,C,003,Central Pond,47° 39' 16.758'' N,122° 17' 34.470'' W,192000,Medium,None,None,(4.3),3.693,AK,YJC,JS,recover-20220929,Panasonic; Rained less than an inch; Audiomoths held up well.
2022-09-26T16:26:00,2022-09-29T17:35:00,D,004,Carp Pond,47° 39' 16.188'' N,122° 17' 42.078'' W,192000,Medium,None,None,(4.3),3.747,AK,YJC,JS,recover-20220929,IKEA; Rained less than an inch; Audiomoths held up well.
2022-09-26T16:46:00,2022-09-29T17:52:00,E,005,Fallen Tree,47° 39' 22.968'' N,122° 17' 33.918'' W,192000,Medium,None,None,(4.3),3.706,AK,YJC,JS,recover-20220929,Panasonic; Rained less than an inch; Audiomoths held up well.
2022-09-26T17:00:00,2022-09-29T18:09:00,F,006,Opposite Central Pond,47° 39' 19.380'' N,122° 17' 35.778'' W,192000,Medium,None,None,(4.2),3.744,AK,YJC,JS,recover-20220929,IKEA; Rained less than an inch; Audiomoths held up well.
2022-09-29T16:49:00,2022-10-03T09:50:00,A,007,Telephone Field,47° 39' 24.492'' N,122° 17' 29.658'' W,192000,Medium,None,None,4.155,3.577,JS,JS,AK,recover-20221003,IKEA
2022-09-29T17:07:00,2022-10-03T10:02:00,B,008,Foliage,47° 39' 18.780'' N,122° 17' 26.562'' W,192000,Medium,None,None,4.186,3.598,AK,JS,AK,recover-20221003,IKEA
2022-09-29T17:23:00,2022-10-03T10:11:00,C,009,Central Pond,47° 39' 16.992'' N,122° 17' 34.392'' W,192000,Medium,None,None,4.238,3.710,JS,JS,AK,recover-20221003,Panasonic
